,Label,Row,Intervals
93,12-93,"[0, 1, 5, 7, 2, 10, 4, 3, 8, 11, 9, 6]",[ 1  4  2  7  8  6 11  5  3 10  9  6]
94,12-94,"[0, 1, 5, 7, 2, 10, 8, 11, 4, 3, 9, 6]",[ 1  4  2  7  8 10  3  5 11  6  9  6]
95,12-95,"[0, 1, 5, 7, 2, 11, 9, 8, 4, 10, 3, 6]",[ 1  4  2  7  9 10 11  8  6  5  3  6]
96,12-96,"[0, 1, 5, 7, 2, 11, 10, 8, 4, 9, 3, 6]",[ 1  4  2  7  9 11 10  8  5  6  3  6]
97,12-97,"[0, 1, 5, 7, 3, 8, 11, 10, 4, 2, 9, 6]",[ 1  4  2  8  5  3 11  6 10  7  9  6]
98,12-98P,"[0, 1, 5, 7, 4, 9, 3, 2, 10, 8, 11, 6]",[ 1  4  2  9  5  6 11  8 10  3  7  6]
99,12-99L,"[0, 1, 5, 7, 4, 10, 3, 11, 2, 9, 8, 6]",[ 1  4  2  9  6  5  8  3  7 11 10  6]
100,12-100,"[0, 1, 5, 7, 4, 11, 2, 10, 3, 9, 8, 6]",[ 1  4  2  9  7  3  8  5  6 11 10  6]
101,12-101,"[0, 1, 5, 7, 4, 11, 2, 10, 9, 3, 8, 6]",[ 1  4  2  9  7  3  8 11  6  5 10  6]
102,12-102,"[0, 1, 5, 7, 4, 11, 9, 8, 2, 10, 3, 6]",[ 1  4  2  9  7 10 11  6  8  5  3  6]
103,12-103,"[0, 1, 5, 7, 4, 2, 9, 3, 8, 11, 10, 6]",[ 1  4  2  9 10  7  6  5  3 11  8  6]
104,12-104,"[0, 1, 5, 7, 4, 2, 10, 3, 9, 8, 11, 6]",[ 1  4  2  9 10  8  5  6 11  3  7  6]
105,12-105,"[0, 1, 5, 7, 4, 2, 10, 9, 3, 8, 11, 6]",[ 1  4  2  9 10  8 11  6  5  3  7  6]
106,12-106,"[0, 1, 5, 7, 4, 3, 9, 2, 10, 8, 11, 6]",[ 1  4  2  9 11  6  5  8 10  3  7  6]
107,12-107S,"[0, 1, 5, 8, 10, 3, 9, 4, 2, 11, 7, 6]",[ 1  4  3  2  5  6  7 10  9  8 11  6]
108,12-108,"[0, 1, 5, 8, 10, 4, 9, 7, 3, 2, 11, 6]",[ 1  4  3  2  6  5 10  8 11  9  7  6]
109,12-109,"[0, 1, 5, 8, 3, 11, 10, 4, 2, 7, 9, 6]",[ 1  4  3  7  8 11  6 10  5  2  9  6]
110,12-110,"[0, 1, 5, 8, 7, 2, 4, 10, 3, 11, 9, 6]",[ 1  4  3 11  7  2  6  5  8 10  9  6]
111,12-111,"[0, 1, 5, 8, 7, 4, 2, 10, 3, 9, 11, 6]",[ 1  4  3 11  9 10  8  5  6  2  7  6]
112,12-112L,"[0, 1, 5, 10, 4, 7, 3, 2, 9, 11, 8, 6]",[ 1  4  5  6  3  8 11  7  2  9 10  6]
113,12-113L,"[0, 1, 5, 10, 4, 2, 9, 11, 8, 7, 3, 6]",[ 1  4  5  6 10  7  2  9 11  8  3  6]
114,12-114L,"[0, 1, 5, 10, 4, 2, 11, 7, 9, 8, 3, 6]",[ 1  4  5  6 10  9  8  2 11  7  3  6]
115,12-115,"[0, 1, 5, 10, 7, 9, 4, 3, 11, 2, 8, 6]",[ 1  4  5  9  2  7 11  8  3  6 10  6]
116,12-116L,"[0, 1, 5, 10, 7, 3, 2, 8, 11, 9, 4, 6]",[ 1  4  5  9  8 11  6  3 10  7  2  6]
117,12-117,"[0, 1, 5, 10, 8, 11, 7, 2, 4, 3, 9, 6]",[ 1  4  5 10  3  8  7  2 11  6  9  6]
